movie_id,recommendations
19995,"[{'index': 1, 'movie_id': 679}, {'index': 2, 'movie_id': 440}, {'index': 3, 'movie_id': 270938}, {'index': 4, 'movie_id': 7450}, {'index': 5, 'movie_id': 602}, {'index': 6, 'movie_id': 11551}, {'index': 7, 'movie_id': 76757}, {'index': 8, 'movie_id': 44943}, {'index': 9, 'movie_id': 11260}, {'index': 10, 'movie_id': 395}]"
285,"[{'index': 1, 'movie_id': 58}, {'index': 2, 'movie_id': 22}, {'index': 3, 'movie_id': 1865}, {'index': 4, 'movie_id': 15511}, {'index': 5, 'movie_id': 72197}, {'index': 6, 'movie_id': 87827}, {'index': 7, 'movie_id': 1408}, {'index': 8, 'movie_id': 192577}, {'index': 9, 'movie_id': 35032}, {'index': 10, 'movie_id': 9804}]"
206647,"[{'index': 1, 'movie_id': 10764}, {'index': 2, 'movie_id': 37724}, {'index': 3, 'movie_id': 36670}, {'index': 4, 'movie_id': 657}, {'index': 5, 'movie_id': 700}, {'index': 6, 'movie_id': 668}, {'index': 7, 'movie_id': 660}, {'index': 8, 'movie_id': 709}, {'index': 9, 'movie_id': 681}, {'index': 10, 'movie_id': 112949}]"
49026,"[{'index': 1, 'movie_id': 155}, {'index': 2, 'movie_id': 268}, {'index': 3, 'movie_id': 268}, {'index': 4, 'movie_id': 414}, {'index': 5, 'movie_id': 272}, {'index': 6, 'movie_id': 364}, {'index': 7, 'movie_id': 415}, {'index': 8, 'movie_id': 142061}, {'index': 9, 'movie_id': 21610}, {'index': 10, 'movie_id': 18777}]"
49529,"[{'index': 1, 'movie_id': 10461}, {'index': 2, 'movie_id': 16651}, {'index': 3, 'movie_id': 32740}, {'index': 4, 'movie_id': 46529}, {'index': 5, 'movie_id': 44833}, {'index': 6, 'movie_id': 188207}, {'index': 7, 'movie_id': 16112}, {'index': 8, 'movie_id': 87421}, {'index': 9, 'movie_id': 7214}, {'index': 10, 'movie_id': 10890}]"
559,"[{'index': 1, 'movie_id': 558}, {'index': 2, 'movie_id': 557}, {'index': 3, 'movie_id': 102382}, {'index': 4, 'movie_id': 1930}, {'index': 5, 'movie_id': 6488}, {'index': 6, 'movie_id': 16538}, {'index': 7, 'movie_id': 10138}, {'index': 8, 'movie_id': 16353}, {'index': 9, 'movie_id': 102899}, {'index': 10, 'movie_id': 9074}]"
38757,"[{'index': 1, 'movie_id': 10198}, {'index': 2, 'movie_id': 50135}, {'index': 3, 'movie_id': 244339}, {'index': 4, 'movie_id': 13700}, {'index': 5, 'movie_id': 812}, {'index': 6, 'movie_id': 10193}, {'index': 7, 'movie_id': 26672}, {'index': 8, 'movie_id': 121}, {'index': 9, 'movie_id': 15512}, {'index': 10, 'movie_id': 4523}]"
99861,"[{'index': 1, 'movie_id': 24428}, {'index': 2, 'movie_id': 10138}, {'index': 3, 'movie_id': 68721}, {'index': 4, 'movie_id': 1726}, {'index': 5, 'movie_id': 76170}, {'index': 6, 'movie_id': 271110}, {'index': 7, 'movie_id': 10195}, {'index': 8, 'movie_id': 102899}, {'index': 9, 'movie_id': 2080}, {'index': 10, 'movie_id': 118340}]"
767,"[{'index': 1, 'movie_id': 675}, {'index': 2, 'movie_id': 674}, {'index': 3, 'movie_id': 671}, {'index': 4, 'movie_id': 672}, {'index': 5, 'movie_id': 673}, {'index': 6, 'movie_id': 2309}, {'index': 7, 'movie_id': 227707}, {'index': 8, 'movie_id': 371690}, {'index': 9, 'movie_id': 2270}, {'index': 10, 'movie_id': 15487}]"
209112,"[{'index': 1, 'movie_id': 272}, {'index': 2, 'movie_id': 364}, {'index': 3, 'movie_id': 49521}, {'index': 4, 'movie_id': 8536}, {'index': 5, 'movie_id': 155}, {'index': 6, 'movie_id': 9531}, {'index': 7, 'movie_id': 1924}, {'index': 8, 'movie_id': 268}, {'index': 9, 'movie_id': 11411}, {'index': 10, 'movie_id': 9593}]"
1452,"[{'index': 1, 'movie_id': 8536}, {'index': 2, 'movie_id': 9531}, {'index': 3, 'movie_id': 11411}, {'index': 4, 'movie_id': 1924}, {'index': 5, 'movie_id': 49521}, {'index': 6, 'movie_id': 10138}, {'index': 7, 'movie_id': 76170}, {'index': 8, 'movie_id': 16441}, {'index': 9, 'movie_id': 32740}, {'index': 10, 'movie_id': 82700}]"
10764,"[{'index': 1, 'movie_id': 709}, {'index': 2, 'movie_id': 206647}, {'index': 3, 'movie_id': 36557}, {'index': 4, 'movie_id': 681}, {'index': 5, 'movie_id': 36670}, {'index': 6, 'movie_id': 657}, {'index': 7, 'movie_id': 700}, {'index': 8, 'movie_id': 16112}, {'index': 9, 'movie_id': 192102}, {'index': 10, 'movie_id': 389425}]"
58,"[{'index': 1, 'movie_id': 285}, {'index': 2, 'movie_id': 22}, {'index': 3, 'movie_id': 1865}, {'index': 4, 'movie_id': 72197}, {'index': 5, 'movie_id': 192577}, {'index': 6, 'movie_id': 109424}, {'index': 7, 'movie_id': 15511}, {'index': 8, 'movie_id': 11128}, {'index': 9, 'movie_id': 17578}, {'index': 10, 'movie_id': 71805}]"
57201,"[{'index': 1, 'movie_id': 38665}, {'index': 2, 'movie_id': 576}, {'index': 3, 'movie_id': 13503}, {'index': 4, 'movie_id': 10718}, {'index': 5, 'movie_id': 14854}, {'index': 6, 'movie_id': 68818}, {'index': 7, 'movie_id': 1725}, {'index': 8, 'movie_id': 13496}, {'index': 9, 'movie_id': 40688}, {'index': 10, 'movie_id': 642}]"
49521,"[{'index': 1, 'movie_id': 16353}, {'index': 2, 'movie_id': 1452}, {'index': 3, 'movie_id': 16577}, {'index': 4, 'movie_id': 8536}, {'index': 5, 'movie_id': 11411}, {'index': 6, 'movie_id': 9531}, {'index': 7, 'movie_id': 209112}, {'index': 8, 'movie_id': 76757}, {'index': 9, 'movie_id': 1691}, {'index': 10, 'movie_id': 49538}]"
2454,"[{'index': 1, 'movie_id': 411}, {'index': 2, 'movie_id': 10140}, {'index': 3, 'movie_id': 8587}, {'index': 4, 'movie_id': 2309}, {'index': 5, 'movie_id': 46256}, {'index': 6, 'movie_id': 228326}, {'index': 7, 'movie_id': 49519}, {'index': 8, 'movie_id': 13155}, {'index': 9, 'movie_id': 16690}, {'index': 10, 'movie_id': 122}]"
24428,"[{'index': 1, 'movie_id': 99861}, {'index': 2, 'movie_id': 68721}, {'index': 3, 'movie_id': 1771}, {'index': 4, 'movie_id': 271110}, {'index': 5, 'movie_id': 1726}, {'index': 6, 'movie_id': 118340}, {'index': 7, 'movie_id': 76338}, {'index': 8, 'movie_id': 36657}, {'index': 9, 'movie_id': 102899}, {'index': 10, 'movie_id': 2080}]"
1865,"[{'index': 1, 'movie_id': 58}, {'index': 2, 'movie_id': 22}, {'index': 3, 'movie_id': 72197}, {'index': 4, 'movie_id': 285}, {'index': 5, 'movie_id': 15511}, {'index': 6, 'movie_id': 57800}, {'index': 7, 'movie_id': 192577}, {'index': 8, 'movie_id': 152747}, {'index': 9, 'movie_id': 10339}, {'index': 10, 'movie_id': 17578}]"
41154,"[{'index': 1, 'movie_id': 607}, {'index': 2, 'movie_id': 122906}, {'index': 3, 'movie_id': 45767}, {'index': 4, 'movie_id': 8831}, {'index': 5, 'movie_id': 39514}, {'index': 6, 'movie_id': 244267}, {'index': 7, 'movie_id': 36825}, {'index': 8, 'movie_id': 1590}, {'index': 9, 'movie_id': 326284}, {'index': 10, 'movie_id': 36955}]"
